4.448911893581234955e-01,7.162999582235166640e-01,4.930400112801168744e-01,8.548020844600644486e-01,4.891741712971836020e-01,9.366828890747304071e-01,2.859349802265483964e-01,8.415441053168983832e-01,3.000719815065030271e+00
3.433347572999740915e-01,2.657035926097782164e-01,3.159788285561758725e-01,5.951582678270445070e-01,4.636903621383409169e-01,2.974938765771666938e-01,2.993961732669859765e-01,7.411197991287791220e-01,3.230804395733474443e+00
2.617644571415898014e-01,3.038619101720548832e-01,2.300056054463228972e-01,6.352357072023799844e-01,5.479977007089483765e-01,1.439965364517862001e-01,4.313807599038950724e-01,8.340625239474463992e-01,3.117949906278240313e+00
7.476688397749439163e-01,7.636476368187115060e-01,1.000000000000000000e+00,2.909011992667377977e-01,3.653956696685191075e-01,4.979584589788617066e-01,3.563191455039110139e-02,1.000000000000000000e+00,2.809402695362497315e+00
1.520431788854018085e-01,4.214352704769944169e-01,4.083428467048355048e-01,6.933386617659479390e-01,4.907070319984673246e-01,2.907575450812907025e-01,1.849711150491324951e-01,5.982729543045343101e-01,3.139832617527747782e+00
1.696131877695825074e-01,7.496205768122199409e-02,2.375788251511238014e-01,6.933386617659479390e-01,7.394136807817593970e-01,9.328147130573970214e-02,2.370157259432532915e-01,7.745088725431839016e-01,3.538056564379352675e+00
4.915412826569449112e-01,7.162999582235166640e-01,7.911494866493632427e-01,8.548020844600644486e-01,5.092929680015331195e-01,9.366828890747304071e-01,1.096497862530770029e-01,1.000000000000000000e+00,2.965273066069282315e+00
6.882080360076644476e-01,7.162999582235166640e-01,7.911494866493632427e-01,8.548020844600644486e-01,5.552787890400462389e-01,9.366828890747304071e-01,1.075920717639609059e-01,9.608430336892428425e-01,2.549445170925571436e+00
1.953983613557717935e-01,3.172182983169509751e-01,2.895066171949848832e-01,8.029631529404464008e-01,5.489557386472506684e-01,2.519792173247979994e-01,3.892315593657897921e-01,5.933574638904178800e-01,3.210843653170937007e+00
1.950962724001410048e-02,2.657035926097782164e-01,3.231150098378045010e-01,5.951582678270445070e-01,9.151178386664111652e-01,2.974938765771666938e-01,3.170915402178116071e-01,7.866178948133046855e-01,3.754198920234578907e+00
5.532150391467109962e-01,2.969196048498288776e-01,1.758498353994177033e-01,6.450834931587268173e-01,4.730791339337039880e-01,1.213951075146536968e-01,5.000371361718743968e-01,8.880472080907496624e-01,2.867898902044106357e+00
7.914044701616927968e-01,7.162999582235166640e-01,7.208459288029290812e-01,8.548020844600644486e-01,2.090438781375744126e-01,9.366828890747304071e-01,4.270997561869580017e-02,1.000000000000000000e+00,2.442347035369204278e+00
